Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades
INFY,EQ,01-Apr-2015,2218.35,2198.9,2199.5,2157.7,2171,2173.95,2171.15,1684622,3657560037.3,90934
INFY,EQ,06-Apr-2015,2173.95,2179,2184.7,2160.4,2179.95,2178.2,2171.24,1935438,4202294185.65,54198
INFY,EQ,07-Apr-2015,2178.2,2175,2182.8,2138,2161,2159.5,2160.92,2135567,4614786256,71104
INFY,EQ,08-Apr-2015,2159.5,2182.5,2204.9,2173.05,2200,2200.55,2191.4,2546394,5580179492.6,84366
INFY,EQ,09-Apr-2015,2200.55,2211.4,2218.9,2184.4,2212,2215,2202.96,2645387,5827671746.8,65171
INFY,EQ,10-Apr-2015,2215,2210.2,2238,2210.2,2228.75,2233.95,2229.87,1780944,3971279957.35,55733
INFY,EQ,13-Apr-2015,2233.95,2238,2244,2216.1,2231,2238.8,2235.7,1218084,2723274133.8,44676
INFY,EQ,15-Apr-2015,2238.8,2236.5,2245,2195.05,2217.95,2213.7,2214.16,1559446,3452862596.9,58780
INFY,EQ,16-Apr-2015,2213.7,2222,2231,2160.5,2196.9,2194.65,2183.51,2251953,4917164806.95,55664
INFY,EQ,17-Apr-2015,2194.65,2180.05,2194.95,2153.45,2180,2179.25,2177.13,1612579,3510786628.3,38470
INFY,EQ,20-Apr-2015,2179.25,2176,2180,2115.15,2129.5,2132.15,2130.87,3206346,6832298664.45,77890
INFY,EQ,21-Apr-2015,2132.15,2148,2155.1,2120.1,2142.6,2142.6,2137.25,2220412,4745571560.95,55322
INFY,EQ,22-Apr-2015,2142.6,2151.05,2155,2097.95,2137.95,2137.7,2125.66,3087746,6563482785.95,95691
INFY,EQ,23-Apr-2015,2137.7,2148.7,2150,2112,2121.05,2122,2124.89,2972950,6317195718.55,96511
INFY,EQ,24-Apr-2015,2122,2135.9,2150.2,1980,1993,1995.2,2070.28,10891363,22548139448.1,317809
INFY,EQ,27-Apr-2015,1995.2,2000,2002,1948.1,1984.85,1984.65,1972.71,4955660,9776101992.25,191419
INFY,EQ,28-Apr-2015,1984.65,1982,1982,1952,1956.9,1960.9,1962.59,2598375,5099538669.25,105935
INFY,EQ,29-Apr-2015,1960.9,1960.9,1972,1937.95,1963,1961.15,1954.65,2072264,4050550195.75,83132
INFY,EQ,30-Apr-2015,1961.15,1960,1965,1932.3,1943.5,1942.25,1943.45,3283565,6381450709.7,97827
